tour_id,person_id,tour_type,tour_type_count,tour_type_num,tour_num,tour_count,tour_category,number_of_participants,destination,origin,household_id,start,end,duration,tdd,composition,tour_mode,atwork_subtour_frequency,parent_tour_id,stop_frequency,primary_purpose
1277304,31153,school,1,1,1,1,mandatory,1,69.0,46.0,31153,13.0,20.0,7.0,131.0,,DRIVEALONEFREE,,,0out_0in,univ
1325643,32332,school,1,1,1,1,mandatory,1,12.0,79.0,32332,17.0,17.0,0.0,162.0,,WALK_LRF,,,1out_3in,univ
4521273,110274,work,1,1,1,1,mandatory,1,2.0,13.0,110274,9.0,18.0,9.0,79.0,,WALK,no_subtours,,0out_1in,work
4624757,112798,work,1,1,1,1,mandatory,1,19.0,19.0,112798,5.0,17.0,12.0,12.0,,WALK,no_subtours,,0out_1in,work
4723772,115213,work,1,1,1,1,mandatory,1,101.0,40.0,115213,6.0,17.0,11.0,30.0,,WALK_HVY,no_subtours,,0out_0in,work
4970305,121226,work,1,1,1,1,mandatory,1,148.0,88.0,121226,6.0,14.0,8.0,27.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
5161365,125886,work,1,1,1,1,mandatory,1,17.0,113.0,125886,9.0,20.0,11.0,81.0,,SHARED2FREE,no_subtours,,1out_0in,work
13399864,326825,work,1,1,1,1,mandatory,1,41.0,42.0,258228,7.0,16.0,9.0,46.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
13399905,326826,work,1,1,1,1,mandatory,1,133.0,42.0,258228,8.0,14.0,6.0,60.0,,DRIVEALONEFREE,no_subtours,,1out_0in,work
13434796,327677,work,1,1,1,1,mandatory,1,71.0,64.0,258654,9.0,17.0,8.0,78.0,,WALK_LOC,no_subtours,,2out_0in,work
13434837,327678,work,1,1,1,1,mandatory,1,142.0,64.0,258654,7.0,17.0,10.0,47.0,,WALK_LOC,no_subtours,,0out_0in,work
17239022,420463,work,1,1,1,1,mandatory,1,11.0,58.0,305047,17.0,21.0,4.0,166.0,,WALK_LOC,no_subtours,,0out_0in,work
22004903,536704,work,1,1,1,1,mandatory,1,24.0,110.0,350837,6.0,15.0,9.0,28.0,,WALK_LRF,no_subtours,,0out_0in,work
22004944,536705,work,1,1,1,1,mandatory,1,115.0,110.0,350837,17.0,21.0,4.0,166.0,,WALK_LOC,no_subtours,,0out_0in,work
22004985,536706,work,1,1,1,1,mandatory,1,18.0,110.0,350837,7.0,17.0,10.0,47.0,,WALK_LRF,maint,,0out_0in,work
23404069,570830,work,1,1,1,2,mandatory,1,182.0,133.0,362212,7.0,10.0,3.0,40.0,,DRIVEALONEFREE,no_subtours,,0out_1in,work
23404061,570830,school,1,1,2,2,mandatory,1,133.0,133.0,362212,15.0,18.0,3.0,148.0,,WALK,,,0out_1in,univ
23404102,570831,school,1,1,1,1,mandatory,1,168.0,133.0,362212,8.0,16.0,8.0,62.0,,BIKE,,,0out_0in,school
32010543,780744,work,1,1,1,2,mandatory,1,153.0,149.0,418532,8.0,15.0,7.0,61.0,,SHARED2FREE,no_subtours,,0out_0in,work
32010535,780744,school,1,1,2,2,mandatory,1,133.0,149.0,418532,16.0,19.0,3.0,157.0,,WALK_LOC,,,2out_0in,univ
34692140,846149,school,1,1,1,1,mandatory,1,11.0,8.0,431928,7.0,14.0,7.0,44.0,,WALK,,,0out_0in,school
34692181,846150,school,1,1,1,1,mandatory,1,106.0,8.0,431928,7.0,15.0,8.0,45.0,,WALK_LRF,,,0out_0in,school
39703004,968365,work,1,1,1,1,mandatory,1,115.0,89.0,457267,8.0,18.0,10.0,64.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
39703078,968367,school,1,1,1,1,mandatory,1,79.0,89.0,457267,8.0,15.0,7.0,61.0,,WALK_LRF,,,0out_0in,school
39703119,968368,school,1,1,1,1,mandatory,1,91.0,89.0,457267,8.0,15.0,7.0,61.0,,SHARED3FREE,,,0out_0in,school
39703160,968369,school,1,1,1,1,mandatory,1,78.0,89.0,457267,7.0,15.0,8.0,45.0,,WALK_LRF,,,0out_0in,school
39703283,968372,school,1,1,1,1,mandatory,1,9.0,89.0,457267,16.0,18.0,2.0,156.0,,WALK_LRF,,,0out_0in,school
39911653,973454,work,1,1,1,1,mandatory,1,148.0,149.0,458278,9.0,17.0,8.0,78.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
39911686,973455,school,1,1,1,1,mandatory,1,149.0,149.0,458278,7.0,16.0,9.0,46.0,,SHARED3FREE,,,0out_0in,school
39911727,973456,school,1,1,1,1,mandatory,1,149.0,149.0,458278,8.0,18.0,10.0,64.0,,WALK,,,0out_0in,school
39911768,973457,school,1,1,1,1,mandatory,1,117.0,149.0,458278,8.0,15.0,7.0,61.0,,SHARED3FREE,,,0out_0in,school
55592144,1355905,work,1,1,1,1,mandatory,1,9.0,17.0,658792,8.0,18.0,10.0,64.0,,WALK_LRF,no_subtours,,0out_0in,work
60524936,1476217,work,1,1,1,1,mandatory,1,9.0,8.0,727893,8.0,13.0,5.0,59.0,,WALK,no_subtours,,1out_2in,work
67035285,1635006,work,1,1,1,1,mandatory,1,10.0,32.0,826226,9.0,20.0,11.0,81.0,,WALK_LOC,eat,,1out_1in,work
67172881,1638362,work,1,1,1,1,mandatory,1,27.0,46.0,829582,7.0,18.0,11.0,48.0,,WALK,eat,,0out_0in,work
67340489,1642450,work,1,1,1,1,mandatory,1,14.0,73.0,833670,7.0,16.0,9.0,46.0,,WALK_LOC,no_subtours,,0out_0in,work
67677550,1650671,work,1,1,1,1,mandatory,1,2.0,126.0,841891,6.0,16.0,10.0,29.0,,WALK_HVY,no_subtours,,0out_0in,work
74107334,1807495,work,1,1,1,1,mandatory,1,56.0,60.0,948762,6.0,17.0,11.0,30.0,,WALK_LOC,no_subtours,,0out_0in,work
74107375,1807496,work,1,1,1,1,mandatory,1,171.0,60.0,948762,6.0,17.0,11.0,30.0,,WALK_LRF,no_subtours,,0out_0in,work
74258132,1811173,work,1,1,1,1,mandatory,1,9.0,184.0,950601,5.0,20.0,15.0,15.0,,WALK_LRF,no_subtours,,0out_1in,work
74258173,1811174,work,1,1,1,1,mandatory,1,1.0,184.0,950601,8.0,19.0,11.0,65.0,,WALK_LRF,no_subtours,,0out_0in,work
77109518,1880719,work,1,1,1,1,mandatory,1,97.0,62.0,985374,10.0,19.0,9.0,94.0,,SHARED2FREE,no_subtours,,0out_1in,work
77109559,1880720,work,1,1,1,1,mandatory,1,10.0,62.0,985374,6.0,17.0,11.0,30.0,,WALK_HVY,no_subtours,,0out_0in,work
77239447,1883888,work,1,1,1,1,mandatory,1,12.0,83.0,986958,7.0,17.0,10.0,47.0,,WALK_LRF,eat,,0out_0in,work
77351582,1886623,work,1,1,1,1,mandatory,1,142.0,96.0,988326,8.0,16.0,8.0,62.0,,SHARED2FREE,no_subtours,,0out_0in,work
77560108,1891709,work,1,1,1,1,mandatory,1,71.0,134.0,990869,6.0,15.0,9.0,28.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
77560149,1891710,work,1,1,1,1,mandatory,1,17.0,134.0,990869,16.0,22.0,6.0,160.0,,WALK_HVY,no_subtours,,0out_0in,work
83827696,2044577,work,1,1,1,1,mandatory,1,24.0,167.0,1061466,8.0,17.0,9.0,63.0,,WALK_LRF,no_subtours,,0out_0in,work
83827778,2044579,work,1,1,1,1,mandatory,1,133.0,167.0,1061466,7.0,20.0,13.0,50.0,,SHARED2FREE,no_subtours,,0out_0in,work
83842702,2044943,work,1,1,1,1,mandatory,1,83.0,179.0,1061588,13.0,18.0,5.0,129.0,,DRIVEALONEFREE,eat,,0out_1in,work
83842784,2044945,work,1,1,1,1,mandatory,1,8.0,179.0,1061588,12.0,21.0,9.0,121.0,,WALK_LRF,eat,,0out_0in,work
84942109,2071758,school,1,1,1,1,mandatory,1,188.0,84.0,1070526,8.0,12.0,4.0,58.0,,WALK_LRF,,,0out_0in,school
84942158,2071759,work,1,1,1,1,mandatory,1,25.0,84.0,1070526,7.0,18.0,11.0,48.0,,WALK_LOC,no_subtours,,0out_0in,work
86404669,2107430,work,1,1,1,1,mandatory,1,2.0,128.0,1082417,8.0,17.0,9.0,63.0,,WALK_LRF,no_subtours,,0out_0in,work
86404710,2107431,work,1,1,1,1,mandatory,1,177.0,128.0,1082417,7.0,18.0,11.0,48.0,,WALK_LRF,no_subtours,,0out_0in,work
86404751,2107432,work,1,1,1,1,mandatory,1,1.0,128.0,1082417,7.0,19.0,12.0,49.0,,WALK_LRF,no_subtours,,0out_0in,work
88559629,2159990,work,1,1,1,1,mandatory,1,43.0,58.0,1099937,9.0,17.0,8.0,78.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
88559662,2159991,school,1,1,1,1,mandatory,1,185.0,58.0,1099937,8.0,18.0,10.0,64.0,,SHARED3FREE,,,0out_1in,school
88559703,2159992,school,2,1,1,2,mandatory,1,57.0,58.0,1099937,7.0,11.0,4.0,41.0,,SHARED3FREE,,,0out_0in,school
88559704,2159992,school,2,2,2,2,mandatory,1,57.0,58.0,1099937,11.0,18.0,7.0,106.0,,WALK,,,1out_1in,school
100798654,2458503,school,1,1,1,1,mandatory,1,100.0,8.0,1173905,7.0,15.0,8.0,45.0,,WALK_HVY,,,0out_0in,school
121280704,2958065,work,1,1,1,1,mandatory,1,32.0,32.0,1307774,8.0,17.0,9.0,63.0,,WALK,no_subtours,,0out_0in,work
121328510,2959231,work,1,1,1,1,mandatory,1,15.0,51.0,1308940,6.0,15.0,9.0,28.0,,WALK_LRF,no_subtours,,0out_0in,work
132721262,3237103,work,1,1,1,1,mandatory,1,7.0,46.0,1448863,6.0,20.0,14.0,33.0,,WALK_LOC,no_subtours,,0out_0in,work
132776325,3238446,work,1,1,1,1,mandatory,1,2.0,62.0,1450206,7.0,13.0,6.0,43.0,,WALK_LOC,eat,,0out_0in,work
132838153,3239954,work,1,1,1,1,mandatory,1,9.0,79.0,1451714,12.0,21.0,9.0,121.0,,WALK,no_subtours,,0out_0in,work
136509088,3329489,work,1,1,1,1,mandatory,1,52.0,46.0,1511694,11.0,21.0,10.0,109.0,,DRIVEALONEFREE,maint,,0out_0in,work
143810901,3507582,work,1,1,1,1,mandatory,1,6.0,73.0,1600741,7.0,17.0,10.0,47.0,,WALK_LOC,no_subtours,,0out_0in,work
143810942,3507583,work,1,1,1,1,mandatory,1,110.0,73.0,1600741,8.0,16.0,8.0,62.0,,WALK_LRF,no_subtours,,0out_0in,work
143987857,3511898,work,1,1,1,1,mandatory,1,71.0,89.0,1602899,5.0,17.0,12.0,12.0,,SHARED3FREE,business1,,0out_0in,work
143987898,3511899,work,1,1,1,1,mandatory,1,1.0,89.0,1602899,5.0,23.0,18.0,18.0,,WALK_LRF,no_subtours,,0out_0in,work
144185067,3516708,work,1,1,1,1,mandatory,1,74.0,105.0,1605304,12.0,21.0,9.0,121.0,,WALK_LOC,no_subtours,,0out_0in,work
144185108,3516709,work,1,1,1,1,mandatory,1,22.0,105.0,1605304,7.0,16.0,9.0,46.0,,WALK_HVY,no_subtours,,0out_0in,work
144295152,3519393,work,1,1,1,1,mandatory,1,143.0,122.0,1606646,5.0,18.0,13.0,13.0,,DRIVEALONEFREE,eat,,0out_1in,work
147502869,3597630,work,1,1,1,1,mandatory,1,22.0,102.0,1645765,7.0,18.0,11.0,48.0,,WALK_HVY,no_subtours,,0out_0in,work
147502902,3597631,school,1,1,1,1,mandatory,1,66.0,102.0,1645765,9.0,16.0,7.0,77.0,,WALK_LOC,,,0out_0in,school
151983390,3706911,work,1,1,1,1,mandatory,1,56.0,185.0,1686070,5.0,12.0,7.0,7.0,,DRIVEALONEFREE,business1,,1out_0in,work
151983431,3706912,work,1,1,1,1,mandatory,1,115.0,185.0,1686070,9.0,18.0,9.0,79.0,,WALK_LOC,no_subtours,,0out_0in,work
151983472,3706913,work,1,1,1,1,mandatory,1,69.0,185.0,1686070,8.0,19.0,11.0,65.0,,DRIVEALONEFREE,no_subtours,,2out_2in,work
153738600,3749721,work,1,1,1,1,mandatory,1,111.0,54.0,1700340,7.0,16.0,9.0,46.0,,SHARED2FREE,no_subtours,,0out_0in,work
153738641,3749722,work,1,1,1,1,mandatory,1,4.0,54.0,1700340,7.0,18.0,11.0,48.0,,WALK_LOC,eat,,0out_0in,work
156392940,3814461,work,1,1,1,1,mandatory,1,15.0,80.0,1721920,7.0,16.0,9.0,46.0,,SHARED2FREE,eat,,1out_0in,work
156392981,3814462,work,1,1,1,1,mandatory,1,107.0,80.0,1721920,7.0,20.0,13.0,50.0,,WALK,no_subtours,,0out_0in,work
156393014,3814463,school,1,1,1,1,mandatory,1,78.0,80.0,1721920,9.0,15.0,6.0,76.0,,WALK,,,0out_0in,school
156403559,3814720,work,1,1,1,1,mandatory,1,36.0,95.0,1722006,8.0,21.0,13.0,67.0,,WALK_LOC,no_subtours,,0out_1in,work
156403592,3814721,school,1,1,1,1,mandatory,1,102.0,95.0,1722006,7.0,14.0,7.0,44.0,,WALK_LRF,,,0out_0in,school
159659820,3894141,work,1,1,1,1,mandatory,1,74.0,68.0,1748480,9.0,18.0,9.0,79.0,,SHARED2FREE,no_subtours,,0out_0in,work
160718112,3919953,work,2,1,1,2,mandatory,1,21.0,70.0,1757084,5.0,12.0,7.0,7.0,,WALK_LOC,eat,,0out_1in,work
160718113,3919953,work,2,2,2,2,mandatory,1,21.0,70.0,1757084,13.0,19.0,6.0,130.0,,WALK_LOC,no_subtours,,0out_0in,work
160718153,3919954,work,1,1,1,1,mandatory,1,111.0,70.0,1757084,7.0,17.0,10.0,47.0,,WALK_LOC,no_subtours,,0out_0in,work
160718186,3919955,school,1,1,1,1,mandatory,1,130.0,70.0,1757084,9.0,19.0,10.0,80.0,,WALK_LOC,,,0out_0in,school
173392844,4229093,school,1,1,1,1,mandatory,1,49.0,37.0,1821179,7.0,17.0,10.0,47.0,,TAXI,,,0out_2in,school
173392885,4229094,school,1,1,1,1,mandatory,1,37.0,37.0,1821179,16.0,19.0,3.0,157.0,,WALK,,,0out_0in,school
189951768,4632969,work,1,1,1,1,mandatory,1,24.0,165.0,1908579,7.0,18.0,11.0,48.0,,WALK_LRF,no_subtours,,0out_0in,work
189951809,4632970,work,1,1,1,2,mandatory,1,116.0,165.0,1908579,8.0,13.0,5.0,59.0,,WALK_HVY,no_subtours,,0out_0in,work
189951801,4632970,school,1,1,2,2,mandatory,1,188.0,165.0,1908579,16.0,17.0,1.0,155.0,,SHARED2FREE,,,0out_0in,univ
189951891,4632972,work,1,1,1,1,mandatory,1,22.0,165.0,1908579,7.0,16.0,9.0,46.0,,WALK_HVY,no_subtours,,0out_0in,work
201041161,4903442,work,2,1,1,2,mandatory,1,20.0,68.0,1994016,8.0,13.0,5.0,59.0,,SHARED3FREE,no_subtours,,0out_0in,work
201041162,4903442,work,2,2,2,2,mandatory,1,20.0,68.0,1994016,14.0,17.0,3.0,138.0,,WALK_LOC,no_subtours,,0out_3in,work
201041202,4903443,work,1,1,1,1,mandatory,1,7.0,68.0,1994016,12.0,17.0,5.0,117.0,,WALK_LOC,no_subtours,,0out_0in,work
206226636,5029917,work,1,1,1,1,mandatory,1,2.0,17.0,2025282,9.0,18.0,9.0,79.0,,BIKE,no_subtours,,0out_0in,work
206226677,5029918,work,1,1,1,1,mandatory,1,110.0,17.0,2025282,9.0,19.0,10.0,80.0,,BIKE,no_subtours,,1out_0in,work
206226759,5029920,work,1,1,1,1,mandatory,1,107.0,17.0,2025282,13.0,23.0,10.0,134.0,,WALK_LOC,no_subtours,,0out_0in,work
206226800,5029921,work,1,1,1,1,mandatory,1,23.0,17.0,2025282,8.0,17.0,9.0,63.0,,WALK_LRF,no_subtours,,0out_0in,work
206569150,5038271,work,1,1,1,1,mandatory,1,119.0,71.0,2029315,7.0,16.0,9.0,46.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
207560038,5062439,work,1,1,1,1,mandatory,1,16.0,71.0,2053483,8.0,17.0,9.0,63.0,,WALK_LOC,business1,,0out_1in,work
220929031,5388512,work,1,1,1,1,mandatory,1,22.0,11.0,2223402,7.0,19.0,12.0,49.0,,WALK_LRF,eat,,0out_0in,work
220929072,5388513,work,1,1,1,1,mandatory,1,24.0,11.0,2223402,7.0,18.0,11.0,48.0,,WALK_LOC,no_subtours,,0out_0in,work
221006357,5390398,work,1,1,1,1,mandatory,1,18.0,17.0,2224345,8.0,21.0,13.0,67.0,,WALK,no_subtours,,0out_0in,work
221006398,5390399,work,1,1,1,1,mandatory,1,15.0,17.0,2224345,7.0,18.0,11.0,48.0,,TAXI,no_subtours,,0out_1in,work
221373922,5399363,work,1,1,1,1,mandatory,1,9.0,44.0,2228827,9.0,18.0,9.0,79.0,,DRIVEALONEFREE,eat,,0out_0in,work
221952309,5413470,work,1,1,1,1,mandatory,1,100.0,85.0,2235881,7.0,21.0,14.0,51.0,,WALK_HVY,eat,,0out_0in,work
222095317,5416958,work,1,1,1,1,mandatory,1,7.0,93.0,2237625,6.0,15.0,9.0,28.0,,BIKE,business1,,0out_0in,work
222095358,5416959,work,1,1,1,1,mandatory,1,107.0,93.0,2237625,8.0,17.0,9.0,63.0,,SHARED3FREE,no_subtours,,0out_1in,work
222409623,5424624,work,1,1,1,1,mandatory,1,13.0,114.0,2241458,7.0,18.0,11.0,48.0,,WALK_LOC,no_subtours,,0out_0in,work
222409664,5424625,work,1,1,1,1,mandatory,1,127.0,114.0,2241458,6.0,17.0,11.0,30.0,,WALK_HVY,no_subtours,,0out_0in,work
233662155,5699076,work,1,1,1,1,mandatory,1,23.0,39.0,2345549,7.0,17.0,10.0,47.0,,WALK_LRF,eat,,0out_0in,work
233662196,5699077,work,1,1,1,1,mandatory,1,144.0,39.0,2345549,8.0,17.0,9.0,63.0,,WALK_LRF,no_subtours,,0out_0in,work
233662237,5699078,work,1,1,1,1,mandatory,1,7.0,39.0,2345549,6.0,18.0,12.0,31.0,,WALK,no_subtours,,0out_0in,work
236589186,5770467,work,1,1,1,1,mandatory,1,87.0,49.0,2369346,9.0,18.0,9.0,79.0,,DRIVEALONEFREE,no_subtours,,0out_1in,work
236589227,5770468,work,1,1,1,1,mandatory,1,81.0,49.0,2369346,8.0,17.0,9.0,63.0,,BIKE,eat,,0out_0in,work
236589260,5770469,school,1,1,1,1,mandatory,1,47.0,49.0,2369346,6.0,17.0,11.0,30.0,,WALK,,,0out_2in,school
236628423,5771424,work,1,1,1,1,mandatory,1,15.0,71.0,2369665,7.0,21.0,14.0,51.0,,BIKE,no_subtours,,0out_0in,work
236628497,5771426,school,1,1,1,1,mandatory,1,97.0,71.0,2369665,8.0,15.0,7.0,61.0,,SHARED3FREE,,,1out_0in,school
236785863,5775264,work,1,1,1,1,mandatory,1,24.0,170.0,2370945,7.0,16.0,9.0,46.0,,SHARED2FREE,no_subtours,,0out_0in,work
236785904,5775265,work,1,1,1,1,mandatory,1,133.0,170.0,2370945,7.0,17.0,10.0,47.0,,WALK_LOC,no_subtours,,0out_0in,work
236785937,5775266,school,1,1,1,1,mandatory,1,188.0,170.0,2370945,7.0,22.0,15.0,52.0,,WALK_LRF,,,0out_3in,school
244242443,5957132,school,1,1,1,1,mandatory,1,188.0,178.0,2427358,18.0,18.0,0.0,169.0,,DRIVEALONEFREE,,,0out_0in,univ
244485909,5963070,work,1,1,1,1,mandatory,1,2.0,172.0,2428592,6.0,23.0,17.0,36.0,,DRIVEALONEFREE,no_subtours,,3out_1in,work
244485991,5963072,work,1,1,1,1,mandatory,1,20.0,172.0,2428592,7.0,16.0,9.0,46.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
248123962,6051803,work,1,1,1,1,mandatory,1,47.0,161.0,2447200,6.0,20.0,14.0,33.0,,SHARED2FREE,business1,,0out_0in,work
261101118,6368319,work,1,1,1,1,mandatory,1,133.0,101.0,2508315,7.0,12.0,5.0,42.0,,WALK_HVY,no_subtours,,0out_0in,work
261101159,6368320,work,1,1,1,1,mandatory,1,2.0,101.0,2508315,7.0,16.0,9.0,46.0,,DRIVEALONEFREE,eat,,0out_0in,work
261101200,6368321,work,1,1,1,1,mandatory,1,145.0,101.0,2508315,7.0,16.0,9.0,46.0,,DRIVEALONEFREE,no_subtours,,0out_0in,work
261101241,6368322,work,1,1,1,1,mandatory,1,2.0,101.0,2508315,6.0,22.0,16.0,35.0,,WALK_HVY,no_subtours,,0out_0in,work
283676579,6918940,work,1,1,1,1,mandatory,1,9.0,121.0,2628704,6.0,18.0,12.0,31.0,,WALK_HVY,no_subtours,,0out_0in,work
283676612,6918941,school,1,1,1,1,mandatory,1,102.0,121.0,2628704,7.0,15.0,8.0,45.0,,SHARED3FREE,,,0out_0in,school
