trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,depart,trip_mode
10218433,31153,31153,1277304,univ,1,True,1,univ,69,46,13.0,DRIVEALONEFREE
10218437,31153,31153,1277304,univ,1,False,1,Home,46,69,20.0,DRIVEALONEFREE
10513321,32052,32052,1314165,shopping,1,True,1,shopping,123,78,11.0,SHARED2FREE
10513325,32052,32052,1314165,shopping,1,False,1,Home,78,123,12.0,SHARED2FREE
10605145,32332,32332,1325643,univ,1,True,2,shopping,168,79,17.0,WALK_LRF
10605146,32332,32332,1325643,univ,2,True,2,univ,12,168,17.0,WALK_LRF
10605149,32332,32332,1325643,univ,1,False,4,escort,9,12,17.0,WALK_LRF
10605150,32332,32332,1325643,univ,2,False,4,shopping,4,9,17.0,WALK_LRF
10605151,32332,32332,1325643,univ,3,False,4,eatout,76,4,17.0,WALK_LRF
10605152,32332,32332,1325643,univ,4,False,4,Home,79,76,17.0,WALK_LOC
36170185,110274,110274,4521273,work,1,True,1,work,2,13,9.0,WALK
36170189,110274,110274,4521273,work,1,False,2,shopping,4,2,18.0,WALK
36170190,110274,110274,4521273,work,2,False,2,Home,13,4,18.0,WALK
36998057,112798,112798,4624757,work,1,True,1,work,19,19,5.0,WALK
36998061,112798,112798,4624757,work,1,False,2,work,107,19,13.0,WALK
36998062,112798,112798,4624757,work,2,False,2,Home,19,107,17.0,WALK
37790177,115213,115213,4723772,work,1,True,1,work,101,40,6.0,WALK_LOC
37790181,115213,115213,4723772,work,1,False,1,Home,40,101,17.0,WALK_LOC
39762441,121226,121226,4970305,work,1,True,1,work,148,88,6.0,DRIVEALONEFREE
39762445,121226,121226,4970305,work,1,False,1,Home,88,148,14.0,DRIVEALONEFREE
41290921,125886,125886,5161365,work,1,True,2,othmaint,20,113,9.0,SHARED2FREE
41290922,125886,125886,5161365,work,2,True,2,work,17,20,9.0,SHARED2FREE
41290925,125886,125886,5161365,work,1,False,1,Home,113,17,20.0,SHARED2FREE
88713225,270467,230049,11089153,eatout,1,True,2,othdiscr,6,177,15.0,WALK_LRF
88713226,270467,230049,11089153,eatout,2,True,2,eatout,104,6,17.0,WALK_LRF
88713229,270467,230049,11089153,eatout,1,False,1,Home,177,104,18.0,WALK_LRF
88713441,270467,230049,11089180,shopping,1,True,2,eatout,166,177,20.0,BIKE
88713442,270467,230049,11089180,shopping,2,True,2,shopping,168,166,20.0,BIKE
88713445,270467,230049,11089180,shopping,1,False,1,Home,177,168,20.0,BIKE
107198913,326825,258228,13399864,work,1,True,1,work,41,42,7.0,DRIVEALONEFREE
107198917,326825,258228,13399864,work,1,False,1,Home,42,41,16.0,DRIVEALONEFREE
107199241,326826,258228,13399905,work,1,True,2,escort,74,42,8.0,DRIVEALONEFREE
107199242,326826,258228,13399905,work,2,True,2,work,133,74,8.0,DRIVEALONEFREE
107199245,326826,258228,13399905,work,1,False,1,Home,42,133,14.0,DRIVEALONEFREE
107478369,327677,258654,13434796,work,1,True,3,othmaint,74,64,9.0,WALK_LOC
107478370,327677,258654,13434796,work,2,True,3,eatout,47,74,9.0,WALK
107478371,327677,258654,13434796,work,3,True,3,work,71,47,11.0,WALK
107478373,327677,258654,13434796,work,1,False,1,Home,64,71,17.0,WALK_LOC
107478697,327678,258654,13434837,work,1,True,1,work,142,64,7.0,WALK_LOC
107478701,327678,258654,13434837,work,1,False,1,Home,64,142,17.0,WALK_LOC
137912177,420463,305047,17239022,work,1,True,1,work,11,58,17.0,WALK_LOC
137912181,420463,305047,17239022,work,1,False,1,Home,58,11,21.0,WALK_LOC
176039225,536704,350837,22004903,work,1,True,1,work,24,110,6.0,WALK_LRF
176039229,536704,350837,22004903,work,1,False,1,Home,110,24,15.0,WALK_LRF
176039553,536705,350837,22004944,work,1,True,1,work,115,110,17.0,WALK_LOC
176039557,536705,350837,22004944,work,1,False,1,Home,110,115,21.0,SHARED2FREE
176039753,536706,350837,22004969,atwork,1,True,1,atwork,16,18,9.0,WALK
176039757,536706,350837,22004969,atwork,1,False,2,escort,16,16,9.0,WALK
176039758,536706,350837,22004969,atwork,2,False,2,Work,18,16,9.0,WALK
176039881,536706,350837,22004985,work,1,True,1,work,18,110,7.0,WALK
176039885,536706,350837,22004985,work,1,False,1,Home,110,18,17.0,WALK_LRF
187232489,570830,362212,23404061,univ,1,True,1,univ,133,133,15.0,WALK
187232493,570830,362212,23404061,univ,1,False,2,social,133,133,17.0,WALK
187232494,570830,362212,23404061,univ,2,False,2,Home,133,133,18.0,WALK
187232553,570830,362212,23404069,work,1,True,1,work,182,133,7.0,DRIVEALONEFREE
187232557,570830,362212,23404069,work,1,False,2,eatout,5,182,10.0,DRIVEALONEFREE
187232558,570830,362212,23404069,work,2,False,2,Home,133,5,10.0,DRIVEALONEFREE
187232817,570831,362212,23404102,school,1,True,1,school,168,133,8.0,BIKE
187232821,570831,362212,23404102,school,1,False,1,Home,133,168,16.0,BIKE
256083641,780742,418532,32010455,shopping,1,True,1,shopping,128,149,8.0,TNC_SINGLE
256083645,780742,418532,32010455,shopping,1,False,2,shopping,109,128,9.0,TNC_SHARED
256083646,780742,418532,32010455,shopping,2,False,2,Home,149,109,9.0,DRIVEALONEFREE
256083665,780742,418532,32010458,social,1,True,1,social,14,149,10.0,WALK_LOC
256083669,780742,418532,32010458,social,1,False,1,Home,149,14,21.0,WALK_LRF
256083969,780743,418532,32010496,shopping,1,True,2,escort,139,149,18.0,SHARED2FREE
256083970,780743,418532,32010496,shopping,2,True,2,shopping,130,139,18.0,SHARED2FREE
256083973,780743,418532,32010496,shopping,1,False,2,shopping,103,130,19.0,SHARED2FREE
256083974,780743,418532,32010496,shopping,2,False,2,Home,149,103,19.0,SHARED2FREE
256084281,780744,418532,32010535,univ,1,True,3,eatout,92,149,16.0,WALK_LOC
256084282,780744,418532,32010535,univ,2,True,3,escort,136,92,16.0,WALK_LOC
256084283,780744,418532,32010535,univ,3,True,3,univ,133,136,18.0,TNC_SINGLE
256084285,780744,418532,32010535,univ,1,False,1,Home,149,133,19.0,WALK_LOC
256084345,780744,418532,32010543,work,1,True,1,work,153,149,8.0,SHARED2FREE
256084349,780744,418532,32010543,work,1,False,1,Home,149,153,15.0,SHARED2FREE
277536617,846148,431928,34692077,escort,1,True,1,escort,5,8,8.0,SHARED3FREE
277536621,846148,431928,34692077,escort,1,False,4,social,100,5,9.0,SHARED3FREE
277536622,846148,431928,34692077,escort,2,False,4,shopping,7,100,9.0,DRIVEALONEFREE
277536623,846148,431928,34692077,escort,3,False,4,escort,7,7,9.0,SHARED3FREE
277536624,846148,431928,34692077,escort,4,False,4,Home,8,7,9.0,SHARED3FREE
277536809,846148,431928,34692101,shopping,1,True,1,shopping,11,8,10.0,TAXI
277536813,846148,431928,34692101,shopping,1,False,2,social,27,11,12.0,TAXI
277536814,846148,431928,34692101,shopping,2,False,2,Home,8,27,13.0,TAXI
277537121,846149,431928,34692140,school,1,True,1,school,11,8,7.0,WALK
277537125,846149,431928,34692140,school,1,False,1,Home,8,11,14.0,WALK
277537449,846150,431928,34692181,school,1,True,1,school,106,8,7.0,WALK_LRF
277537453,846150,431928,34692181,school,1,False,1,Home,8,106,15.0,WALK_LOC
277537601,846151,431928,34692200,escort,1,True,2,escort,120,8,9.0,SHARED2FREE
277537602,846151,431928,34692200,escort,2,True,2,escort,33,120,9.0,SHARED2FREE
277537605,846151,431928,34692200,escort,1,False,1,Home,8,33,10.0,SHARED2FREE
317624033,968365,457267,39703004,work,1,True,1,work,115,89,8.0,DRIVEALONEFREE
317624037,968365,457267,39703004,work,1,False,1,Home,89,115,18.0,DRIVEALONEFREE
317624625,968367,457267,39703078,school,1,True,1,school,79,89,8.0,WALK_LRF
317624629,968367,457267,39703078,school,1,False,1,Home,89,79,15.0,WALK_LRF
317624953,968368,457267,39703119,school,1,True,1,school,91,89,8.0,SHARED3FREE
317624957,968368,457267,39703119,school,1,False,1,Home,89,91,15.0,WALK
317625281,968369,457267,39703160,school,1,True,1,school,78,89,7.0,WALK_LRF
317625285,968369,457267,39703160,school,1,False,1,Home,89,78,15.0,WALK_LRF
317625889,968371,457267,39703236,othdiscr,1,True,1,othdiscr,175,89,8.0,SHARED2FREE
317625893,968371,457267,39703236,othdiscr,1,False,1,Home,89,175,22.0,SHARED2FREE
317626265,968372,457267,39703283,school,1,True,1,school,9,89,16.0,WALK_LRF
317626269,968372,457267,39703283,school,1,False,1,Home,89,9,18.0,WALK_LRF
319293225,973454,458278,39911653,work,1,True,1,work,148,149,9.0,DRIVEALONEFREE
319293229,973454,458278,39911653,work,1,False,1,Home,149,148,17.0,DRIVEALONEFREE
319293489,973455,458278,39911686,school,1,True,1,school,149,149,7.0,SHARED3FREE
319293493,973455,458278,39911686,school,1,False,1,Home,149,149,16.0,WALK
319293817,973456,458278,39911727,school,1,True,1,school,149,149,8.0,WALK
319293821,973456,458278,39911727,school,1,False,1,Home,149,149,18.0,WALK
319294145,973457,458278,39911768,school,1,True,1,school,117,149,8.0,SHARED2FREE
319294149,973457,458278,39911768,school,1,False,1,Home,149,117,15.0,SHARED3FREE
395280569,1205123,508010,49410071,othmaint,1,True,1,othmaint,57,173,7.0,DRIVEALONEFREE
395280573,1205123,508010,49410071,othmaint,1,False,1,Home,173,57,10.0,DRIVEALONEFREE
395280609,1205123,508010,49410076,shopping,1,True,1,shopping,19,173,12.0,WALK_LOC
395280613,1205123,508010,49410076,shopping,1,False,2,shopping,25,19,17.0,WALK_LOC
395280614,1205123,508010,49410076,shopping,2,False,2,Home,173,25,17.0,WALK_LOC
414816249,1264683,567570,51852031,othmaint,1,True,1,othmaint,139,10,15.0,DRIVEALONEFREE
414816253,1264683,567570,51852031,othmaint,1,False,1,Home,10,139,15.0,DRIVEALONEFREE
416401513,1269516,572403,52050189,shopping,1,True,1,shopping,103,30,17.0,WALK_LRF
416401517,1269516,572403,52050189,shopping,1,False,1,Home,30,103,19.0,WALK_LRF
417151785,1271804,574691,52143973,escort,1,True,1,escort,21,38,12.0,SHARED2FREE
417151789,1271804,574691,52143973,escort,1,False,1,Home,38,21,13.0,DRIVEALONEFREE
418266129,1275201,578088,52283266,othdiscr,1,True,1,othdiscr,70,51,12.0,WALK_LOC
418266133,1275201,578088,52283266,othdiscr,1,False,1,Home,51,70,16.0,SHARED2FREE
418922961,1277204,580091,52365370,eatout,1,True,1,eatout,21,69,16.0,SHARED2FREE
418922965,1277204,580091,52365370,eatout,1,False,1,Home,69,21,18.0,DRIVEALONEFREE
420453625,1281870,584757,52556703,shopping,1,True,1,shopping,93,89,12.0,TAXI
420453629,1281870,584757,52556703,shopping,1,False,1,Home,89,93,12.0,TNC_SHARED
422179825,1287133,590020,52772478,othdiscr,1,True,1,othdiscr,14,176,7.0,WALK_LOC
422179829,1287133,590020,52772478,othdiscr,1,False,1,Home,176,14,18.0,WALK_LOC
444737153,1355905,658792,55592144,work,1,True,1,work,9,17,8.0,WALK_LRF
444737157,1355905,658792,55592144,work,1,False,1,Home,17,9,18.0,WALK_LRF
484199441,1476217,727893,60524930,shopping,1,True,1,shopping,16,8,15.0,WALK
484199445,1476217,727893,60524930,shopping,1,False,1,Home,8,16,19.0,WALK
484199489,1476217,727893,60524936,work,1,True,2,escort,8,8,8.0,WALK
484199490,1476217,727893,60524936,work,2,True,2,work,9,8,10.0,WALK
484199493,1476217,727893,60524936,work,1,False,3,social,31,9,11.0,WALK
484199494,1476217,727893,60524936,work,2,False,3,escort,33,31,12.0,WALK
484199495,1476217,727893,60524936,work,3,False,3,Home,8,33,13.0,WALK
519393625,1583517,774737,64924203,eatout,1,True,1,eatout,139,181,16.0,DRIVEALONEFREE
519393629,1583517,774737,64924203,eatout,1,False,1,Home,181,139,16.0,DRIVEALONEFREE
535802657,1633544,824764,66975332,othmaint,1,True,1,othmaint,33,28,10.0,WALK
535802661,1633544,824764,66975332,othmaint,1,False,1,Home,28,33,18.0,WALK
536282001,1635006,826226,67035250,atwork,1,True,2,othmaint,114,10,10.0,WALK
536282002,1635006,826226,67035250,atwork,2,True,2,atwork,112,114,10.0,WALK
536282005,1635006,826226,67035250,atwork,1,False,1,Work,10,112,13.0,WALK
536282257,1635006,826226,67035282,social,1,True,1,social,22,32,9.0,WALK
536282261,1635006,826226,67035282,social,1,False,1,Home,32,22,9.0,WALK
536282281,1635006,826226,67035285,work,1,True,2,eatout,39,32,9.0,WALK_LOC
536282282,1635006,826226,67035285,work,2,True,2,work,10,39,9.0,WALK_LOC
536282285,1635006,826226,67035285,work,1,False,2,eatout,9,10,19.0,WALK_LOC
536282286,1635006,826226,67035285,work,2,False,2,Home,32,9,20.0,WALK
537382769,1638362,829582,67172846,atwork,1,True,1,atwork,5,27,13.0,WALK
537382773,1638362,829582,67172846,atwork,1,False,2,work,26,5,13.0,WALK
537382774,1638362,829582,67172846,atwork,2,False,2,Work,27,26,13.0,WALK
537383049,1638362,829582,67172881,work,1,True,1,work,27,46,7.0,WALK
537383053,1638362,829582,67172881,work,1,False,1,Home,46,27,18.0,WALK
538723649,1642450,833670,67340456,eatout,1,True,1,eatout,34,73,17.0,WALK
538723653,1642450,833670,67340456,eatout,1,False,1,Home,73,34,17.0,WALK
538723913,1642450,833670,67340489,work,1,True,1,work,14,73,7.0,WALK_LOC
538723917,1642450,833670,67340489,work,1,False,1,Home,73,14,16.0,WALK_LOC
541420401,1650671,841891,67677550,work,1,True,1,work,2,126,6.0,WALK_HVY
541420405,1650671,841891,67677550,work,1,False,1,Home,126,2,16.0,WALK_HVY
592858673,1807495,948762,74107334,work,1,True,1,work,56,60,6.0,WALK_LOC
592858677,1807495,948762,74107334,work,1,False,1,Home,60,56,17.0,WALK_LOC
592859001,1807496,948762,74107375,work,1,True,1,work,171,60,6.0,WALK_LRF
592859005,1807496,948762,74107375,work,1,False,1,Home,60,171,17.0,WALK_LOC
594065057,1811173,950601,74258132,work,1,True,1,work,9,184,5.0,WALK_LRF
594065061,1811173,950601,74258132,work,1,False,2,eatout,12,9,20.0,WALK_LRF
594065062,1811173,950601,74258132,work,2,False,2,Home,184,12,20.0,WALK_LRF
594065385,1811174,950601,74258173,work,1,True,1,work,1,184,8.0,WALK_LRF
594065389,1811174,950601,74258173,work,1,False,1,Home,184,1,19.0,WALK_LRF
616876145,1880719,985374,77109518,work,1,True,1,work,97,62,10.0,DRIVEALONEFREE
616876149,1880719,985374,77109518,work,1,False,2,escort,65,97,18.0,SHARED2FREE
616876150,1880719,985374,77109518,work,2,False,2,Home,62,65,19.0,WALK
616876473,1880720,985374,77109559,work,1,True,1,work,10,62,6.0,WALK_LRF
616876477,1880720,985374,77109559,work,1,False,1,Home,62,10,17.0,WALK_LOC
617915137,1883887,986958,77239392,othdiscr,1,True,2,shopping,11,83,10.0,SHARED3FREE
617915138,1883887,986958,77239392,othdiscr,2,True,2,othdiscr,73,11,10.0,SHARED3FREE
617915141,1883887,986958,77239392,othdiscr,1,False,4,othmaint,41,73,10.0,SHARED3FREE
617915142,1883887,986958,77239392,othdiscr,2,False,4,othdiscr,79,41,10.0,SHARED3FREE
617915143,1883887,986958,77239392,othdiscr,3,False,4,shopping,104,79,10.0,SHARED3FREE
617915144,1883887,986958,77239392,othdiscr,4,False,4,Home,83,104,10.0,SHARED3FREE
617915201,1883887,986958,77239400,shopping,1,True,1,shopping,172,83,16.0,WALK_LRF
617915205,1883887,986958,77239400,shopping,1,False,1,Home,83,172,16.0,WALK_LRF
617915225,1883887,986958,77239403,social,1,True,1,social,20,83,16.0,WALK_LRF
617915229,1883887,986958,77239403,social,1,False,1,Home,83,20,19.0,WALK_LRF
617915297,1883888,986958,77239412,atwork,1,True,2,eatout,2,12,10.0,WALK
617915298,1883888,986958,77239412,atwork,2,True,2,atwork,16,2,10.0,WALK
617915301,1883888,986958,77239412,atwork,1,False,1,Work,12,16,10.0,WALK
617915577,1883888,986958,77239447,work,1,True,1,work,12,83,7.0,WALK_LRF
617915581,1883888,986958,77239447,work,1,False,1,Home,83,12,17.0,WALK_LRF
618812657,1886623,988326,77351582,work,1,True,1,work,142,96,8.0,DRIVEALONEFREE
618812661,1886623,988326,77351582,work,1,False,1,Home,96,142,16.0,SHARED2FREE
618812721,1886624,988326,77351590,eatout,1,True,1,eatout,130,96,19.0,WALK
618812725,1886624,988326,77351590,eatout,1,False,2,shopping,129,130,20.0,WALK
618812726,1886624,988326,77351590,eatout,2,False,2,Home,96,129,21.0,WALK
618812873,1886624,988326,77351609,othdiscr,1,True,1,othdiscr,93,96,12.0,DRIVEALONEFREE
618812877,1886624,988326,77351609,othdiscr,1,False,1,Home,96,93,14.0,DRIVEALONEFREE
618812937,1886624,988326,77351617,shopping,1,True,1,shopping,183,96,10.0,DRIVEALONEFREE
618812941,1886624,988326,77351617,shopping,1,False,1,Home,96,183,12.0,DRIVEALONEFREE
620480817,1891709,990869,77560102,shopping,1,True,1,shopping,16,134,16.0,TNC_SHARED
620480821,1891709,990869,77560102,shopping,1,False,1,Home,134,16,16.0,DRIVEALONEFREE
620480865,1891709,990869,77560108,work,1,True,1,work,71,134,6.0,DRIVEALONEFREE
620480869,1891709,990869,77560108,work,1,False,1,Home,134,71,15.0,DRIVEALONEFREE
620481145,1891710,990869,77560143,shopping,1,True,1,shopping,175,134,10.0,SHARED2FREE
620481149,1891710,990869,77560143,shopping,1,False,2,eatout,136,175,10.0,SHARED2FREE
620481150,1891710,990869,77560143,shopping,2,False,2,Home,134,136,10.0,SHARED2FREE
620481153,1891710,990869,77560144,shopping,1,True,1,shopping,98,134,15.0,TNC_SINGLE
620481157,1891710,990869,77560144,shopping,1,False,3,othmaint,92,98,15.0,TNC_SINGLE
620481158,1891710,990869,77560144,shopping,2,False,3,social,112,92,15.0,TNC_SHARED
620481159,1891710,990869,77560144,shopping,3,False,3,Home,134,112,15.0,DRIVEALONEFREE
620481193,1891710,990869,77560149,work,1,True,1,work,17,134,16.0,WALK_HVY
620481197,1891710,990869,77560149,work,1,False,1,Home,134,17,22.0,WALK_LRF
670621569,2044577,1061466,83827696,work,1,True,1,work,24,167,8.0,WALK_LOC
670621573,2044577,1061466,83827696,work,1,False,1,Home,167,24,17.0,WALK_LRF
670621633,2044578,1061466,83827704,eatout,1,True,1,eatout,164,167,9.0,WALK
670621637,2044578,1061466,83827704,eatout,1,False,1,Home,167,164,10.0,WALK
670622225,2044579,1061466,83827778,work,1,True,1,work,133,167,7.0,DRIVEALONEFREE
670622229,2044579,1061466,83827778,work,1,False,1,Home,167,133,20.0,DRIVEALONEFREE
670741337,2044943,1061588,83842667,atwork,1,True,1,atwork,5,83,13.0,SHARED2FREE
670741341,2044943,1061588,83842667,atwork,1,False,1,Work,83,5,13.0,SHARED2FREE
670741617,2044943,1061588,83842702,work,1,True,1,work,83,179,13.0,DRIVEALONEFREE
670741621,2044943,1061588,83842702,work,1,False,2,work,123,83,17.0,DRIVEALONEFREE
670741622,2044943,1061588,83842702,work,2,False,2,Home,179,123,18.0,DRIVEALONEFREE
670741993,2044945,1061588,83842749,atwork,1,True,1,atwork,13,8,12.0,WALK
670741997,2044945,1061588,83842749,atwork,1,False,1,Work,8,13,13.0,WALK
670742273,2044945,1061588,83842784,work,1,True,1,work,8,179,12.0,WALK_LOC
670742277,2044945,1061588,83842784,work,1,False,1,Home,179,8,21.0,WALK_LRF
679536345,2071757,1070526,84942043,eatout,1,True,1,eatout,47,84,10.0,WALK_LOC
679536349,2071757,1070526,84942043,eatout,1,False,1,Home,84,47,21.0,WALK_LOC
679536873,2071758,1070526,84942109,school,1,True,1,school,188,84,8.0,WALK_LRF
679536877,2071758,1070526,84942109,school,1,False,1,Home,84,188,12.0,WALK_LRF
679537265,2071759,1070526,84942158,work,1,True,1,work,25,84,7.0,WALK_LOC
